,0,1,2,3,,,,,,,
0,-0.150197523,-0.684073235,-0.952230521,-0.223223739,,,,,,,
1,-0.279841412,-1.072915167,-1.146759258,0.086985745,,,,Label (Storage Condition),,,
2,-0.081419984,-1.015539645,-0.953730161,-0.225049224,,,Sample ID,2_8degC,RT,BHT,-20degC
3,0.028408327,-0.605868147,-0.798365743,0.097812337,,,0,-0.150197523,-0.684073235,-0.952230521,-0.223223739
4,-0.758610839,0.396458829,-0.710350262,-1.087781188,,,1,-0.279841412,-1.072915167,-1.146759258,0.086985745
5,-0.682609506,0.510954598,-0.41681156,-0.963881684,,,2,-0.081419984,-1.015539645,-0.953730161,-0.225049224
6,-0.91781993,0.667898875,-0.846414746,-1.280929253,,,3,0.028408327,-0.605868147,-0.798365743,0.097812337
7,-1.029055203,0.352194708,-0.561562982,-1.115909996,,,4,-0.758610839,0.396458829,-0.710350262,-1.087781188
8,-0.870625303,-0.137389441,0.337016087,-0.587440736,,,5,-0.682609506,0.510954598,-0.41681156,-0.963881684
9,-1.103168489,-0.609402951,0.218730099,-0.75759173,,,6,-0.91781993,0.667898875,-0.846414746,-1.280929253
10,-0.653633425,-0.409228265,0.179837592,-1.023648482,,,7,-1.029055203,0.352194708,-0.561562982,-1.115909996
11,0.070266034,-0.653422487,-0.805511436,-0.239325778,,,8,-0.870625303,-0.137389441,0.337016087,-0.587440736
12,-0.127962091,-0.687208682,-0.615231655,-0.163864073,,,9,-1.103168489,-0.609402951,0.218730099,-0.75759173
13,0.082583878,-0.987159954,-0.969748422,-0.337809059,,,10,-0.653633425,-0.409228265,0.179837592,-1.023648482
14,0.47939809,-1.153917939,-0.738384164,-0.235152431,,,11,0.070266034,-0.653422487,-0.805511436,-0.239325778
,,,,,,,12,-0.127962091,-0.687208682,-0.615231655,-0.163864073
,,,,,,,13,0.082583878,-0.987159954,-0.969748422,-0.337809059
,,,,,,,14,0.47939809,-1.153917939,-0.738384164,-0.235152431
