,Feature1,Feature2,Feature3,Feature4
0,-0.030368268242680914,-0.03648101427593287,-0.01981056710647021,0.01138945717736553
1,-0.06412526850425751,-0.10475474666569456,0.012552446731825841,0.00953668067829053
2,-0.07462956925665058,-0.07198530817651043,0.011124426397795002,0.002018467909048513
3,-0.0882568712803104,0.027205519059141474,-0.024886136734128317,-0.020154322645097887
4,0.13013338297707,-0.021191589403648924,-0.030200532763511312,-0.018204582406530667
5,0.15285005714276306,0.016845499248864308,-0.0276865583129975,0.008177667798926303
6,0.1673613454002697,-0.010779676066922678,-0.024760621640188107,-0.011687454114503908
7,0.13147676519438284,-0.010234490467705228,-0.01144948861117675,-0.027391677672149433
8,0.014337486571652638,-0.003425561478745332,0.06272181493693602,0.007755419801580229
9,0.019442222891127132,0.03995534516682411,0.07199583776308512,0.030185328795004785
10,0.0513729710511224,0.03129732028450152,0.058445895552913005,0.027686658819785277
11,-0.08793371757062879,0.04127852653426058,-0.06598048025521107,0.09440285116818081
12,-0.06705616891227534,0.114241747214364,-0.002615322096761335,-0.04502053664197743
13,-0.11265692207613637,-0.00711296217887368,0.0009593030078241301,-0.019913870560241236
14,-0.14194744538544807,-0.004858608793921956,-0.010410016869934707,-0.0487800881076815
